ts_utc,open,high,low,close
1779174000,159.0620,159.1430,158.9960,159.0440
1779177600,159.0390,159.1450,158.9950,159.1340
1779181200,159.1360,159.1720,159.0610,159.0970
1779184800,159.0940,159.1780,159.0480,159.0940
1779188400,159.0920,159.1430,159.0680,159.1330
1779192000,159.1260,159.1410,158.6400,159.0650
1779195600,159.0650,159.1940,158.9160,159.0450
1779199200,159.0480,159.2510,158.9790,159.0630
1779202800,159.0620,159.1740,158.9580,159.1190
1779206400,159.1180,159.1770,158.7710,158.8210
1779210000,158.8100,158.8890,158.7770,158.8560
1779213600,158.8560,159.0910,158.8510,159.0440
1779217200,159.0390,159.0780,158.9870,159.0500
1779220800,159.0500,159.1050,159.0370,159.0460
1779224400,159.0580,159.1080,158.9740,159.0330
1779228000,159.0330,159.1170,159.0230,159.0670
1779231600,159.0560,159.0720,158.9800,159.0430
1779235200,159.0350,159.1030,158.9480,158.9910
1779238800,158.9920,159.0920,158.9680,159.0320
1779242400,159.0300,159.0450,158.8310,158.9180
1779246000,158.9240,158.9530,158.8490,158.8650
1779249600,158.8640,159.0020,158.8100,158.9800
1779253200,158.9740,158.9930,158.9100,158.9730
1779256800,158.9670,159.0020,158.8660,158.9690
1779260400,158.9730,159.0620,158.9230,159.0610
1779264000,159.0550,159.1030,159.0100,159.0440
1779267600,159.0360,159.0800,158.9860,159.0680
1779271200,159.0580,159.0710,158.9500,158.9900
1779274800,158.9950,159.0530,158.9580,159.0280
1779278400,159.0290,159.0410,158.9760,159.0120
1779282000,159.0130,159.1130,159.0000,159.0990
1779285600,159.0990,159.1690,158.7860,158.8710
1779289200,158.8710,158.9230,158.5790,158.8430
1779292800,158.8410,158.9150,158.7470,158.8330
1779296400,158.8290,158.9350,158.8030,158.8830
1779300000,158.9180,158.9650,158.7890,158.8420
1779303600,158.8340,158.8970,158.7730,158.8580
1779307200,158.8530,158.9340,158.8380,158.9000
1779310800,158.8770,158.9000,158.7850,158.8900
1779314400,158.8360,158.9220,158.8000,158.8260
1779318000,158.8370,158.9240,158.8120,158.8890
1779321600,158.8800,158.9280,158.8370,158.8570
1779325200,158.8660,158.9000,158.8040,158.8860
1779328800,158.8860,158.9800,158.8430,158.9740
1779332400,158.9760,158.9860,158.9140,158.9610
1779336000,158.9620,159.0030,158.9410,158.9990
1779339600,158.9930,159.0500,158.9700,159.0090
1779343200,159.0100,159.0740,158.9840,159.0570
1779346800,159.0580,159.0850,158.9920,159.0270
1779350400,159.0260,159.0310,158.8950,158.9740
1779354000,158.9800,158.9910,158.9010,158.9740
1779357600,158.9690,159.1370,158.9530,159.1250
1779361200,159.1190,159.1670,159.0360,159.1600
1779364800,159.1590,159.1850,159.0820,159.1560
1779368400,159.1560,159.3500,159.1140,159.2000
1779372000,159.1990,159.2790,159.1150,159.1600
1779375600,159.1600,159.2560,159.1400,159.1690
1779379200,159.1610,159.1980,159.1110,159.1430
1779382800,159.1370,159.1740,158.8120,158.8760
1779386400,158.8760,159.1030,158.8280,159.0730
1779390000,159.0800,159.0950,158.8660,158.9100
1779393600,158.9100,159.0090,158.8780,158.9540
1779397200,158.9330,158.9840,158.8530,158.9280
1779400800,158.9300,159.0220,158.9300,158.9860
1779404400,158.9920,159.0440,158.9770,159.0220
1779408000,159.0180,159.1300,159.0160,159.0860
1779411600,159.0860,159.1270,159.0490,159.0920
1779415200,159.0920,159.1050,158.9960,159.0290
1779418800,159.0290,159.0550,159.0010,159.0330
1779422400,159.0330,159.0740,159.0040,159.0630
1779426000,159.0640,159.1410,159.0500,159.1240
1779429600,159.1260,159.1430,159.0570,159.0990
1779433200,159.0990,159.1460,159.0980,159.1290
1779436800,159.1260,159.1370,159.0480,159.0840
1779440400,159.0850,159.1460,159.0740,159.0980
1779444000,159.0980,159.1350,159.0690,159.1180
1779447600,159.1200,159.1450,159.1050,159.1340
1779451200,159.1320,159.1500,159.0530,159.0760
1779454800,159.0770,159.1400,158.9830,159.0870
1779458400,159.1010,159.1780,159.0170,159.1010
1779462000,159.0970,159.2350,159.0780,159.1930
1779465600,159.1930,159.2330,159.1480,159.1750
1779469200,159.1680,159.1820,159.0520,159.1250
1779472800,159.1230,159.1710,159.0920,159.1340
1779476400,159.1300,159.1720,159.0940,159.1580
1779480000,159.1590,159.2140,159.1310,159.1550
1779663600,158.8700,158.9650,158.8300,158.9540
1779667200,158.9460,158.9640,158.8200,158.9020
1779670800,158.8910,158.9020,158.7500,158.8770
1779674400,158.8690,158.8800,158.8270,158.8410
1779678000,158.8410,158.8920,158.8260,158.8780
1779681600,158.8780,158.9140,158.8380,158.8530
1779685200,158.8530,158.9390,158.8330,158.9260
1779688800,158.9240,158.9400,158.8790,158.8980
1779692400,158.9060,159.0420,158.8930,158.9690
1779696000,158.9670,158.9930,158.8940,158.9080
1779699600,158.9180,158.9430,158.8870,158.9190
1779703200,158.9190,158.9520,158.9090,158.9400
1779706800,158.9410,158.9620,158.8800,158.9310
1779710400,158.9290,158.9430,158.8710,158.8970
1779714000,158.8950,158.9260,158.8740,158.9130
1779717600,158.9110,158.9250,158.8770,158.9170
1779721200,158.9120,158.9510,158.8760,158.8980
1779724800,158.8940,158.9240,158.8840,158.8880
1779728400,158.8890,158.9070,158.8790,158.8940
1779732000,158.8890,158.9060,158.8780,158.8980
1779735600,158.8960,158.9200,158.8840,158.9060
1779739200,158.9070,158.9410,158.8700,158.8870
1779742800,158.8660,158.8960,158.8190,158.8740
1779746400,158.8630,158.9660,158.8480,158.9140
