as_of_jst,forecast_batch_id,outcome_id,strategy_kind,forecast_direction,expected_close_change_bp,realized_direction,realized_close_change_bp,direction_hit,range_hit,state_proxy_hit,state_correctness_hit,close_error_bp,magnitude_error_bp,ai_regime_label,ai_volatility_label,ai_intervention_risk,ai_event_tags,ai_failure_reason,ai_annotation_confidence,ai_annotation_model_version,ai_annotation_prompt_version,ai_evidence_refs,ai_annotation_status,fallback_regime_label,fallback_volatility_label,regime_label,event_tags,manual_event_tags,auto_event_tags,effective_event_tags,event_tag_source,volatility_label,intervention_risk,failure_reason,annotation_source,annotation_status
2026-05-26T08:00:00+09:00,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,oc_USDJPY_20260526T080000_20260527T080000_v1_5bffac518d53db1f,ugh_v2_gamma,up,13.228746536350618,up,25.174649128328134,True,True,False,,11.945902591977516,11.945902591977516,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-27T08:00:00+09:00,fb_USDJPY_20260527T080000_v1_083973637f0f60a9,oc_USDJPY_20260527T080000_20260528T080000_v1_b3f1b1ee2a96e11c,baseline_prev_day_direction,up,25.174649128328134,up,14.439979909592527,True,,,,10.734669218735608,10.734669218735608,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-27T08:00:00+09:00,fb_USDJPY_20260527T080000_v1_083973637f0f60a9,oc_USDJPY_20260527T080000_20260528T080000_v1_b3f1b1ee2a96e11c,baseline_random_walk,flat,0.0,up,14.439979909592527,False,,,,14.439979909592527,14.439979909592527,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-27T08:00:00+09:00,fb_USDJPY_20260527T080000_v1_083973637f0f60a9,oc_USDJPY_20260527T080000_20260528T080000_v1_b3f1b1ee2a96e11c,baseline_simple_technical,up,38.759393559225465,up,14.439979909592527,True,,,,24.31941364963294,24.31941364963294,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-27T08:00:00+09:00,fb_USDJPY_20260527T080000_v1_083973637f0f60a9,oc_USDJPY_20260527T080000_20260528T080000_v1_b3f1b1ee2a96e11c,ugh_v2_alpha,up,21.095787774922464,up,14.439979909592527,True,True,False,,6.655807865329937,6.655807865329937,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-27T08:00:00+09:00,fb_USDJPY_20260527T080000_v1_083973637f0f60a9,oc_USDJPY_20260527T080000_20260528T080000_v1_b3f1b1ee2a96e11c,ugh_v2_beta,up,22.175110888946023,up,14.439979909592527,True,True,False,,7.735130979353496,7.735130979353496,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-27T08:00:00+09:00,fb_USDJPY_20260527T080000_v1_083973637f0f60a9,oc_USDJPY_20260527T080000_20260528T080000_v1_b3f1b1ee2a96e11c,ugh_v2_delta,up,22.108152678480735,up,14.439979909592527,True,True,False,,7.668172768888208,7.668172768888208,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-27T08:00:00+09:00,fb_USDJPY_20260527T080000_v1_083973637f0f60a9,oc_USDJPY_20260527T080000_20260528T080000_v1_b3f1b1ee2a96e11c,ugh_v2_gamma,up,19.095445849897896,up,14.439979909592527,True,True,False,,4.655465940305369,4.655465940305369,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-28T08:00:00+09:00,fb_USDJPY_20260528T080000_v1_0195a5d23dc7f6d6,oc_USDJPY_20260528T080000_20260529T080000_v1_f2af4bba86c446fc,baseline_prev_day_direction,up,14.439979909592527,down,-17.5537583850543,False,,,,31.99373829464683,3.1137784754617748,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-28T08:00:00+09:00,fb_USDJPY_20260528T080000_v1_0195a5d23dc7f6d6,oc_USDJPY_20260528T080000_20260529T080000_v1_f2af4bba86c446fc,baseline_random_walk,flat,0.0,down,-17.5537583850543,False,,,,17.5537583850543,17.5537583850543,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-28T08:00:00+09:00,fb_USDJPY_20260528T080000_v1_0195a5d23dc7f6d6,oc_USDJPY_20260528T080000_20260529T080000_v1_f2af4bba86c446fc,baseline_simple_technical,up,36.94348053565516,down,-17.5537583850543,False,,,,54.497238920709464,19.38972215060086,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-28T08:00:00+09:00,fb_USDJPY_20260528T080000_v1_0195a5d23dc7f6d6,oc_USDJPY_20260528T080000_20260529T080000_v1_f2af4bba86c446fc,ugh_v2_alpha,up,19.806600249757047,down,-17.5537583850543,False,True,False,,37.36035863481135,2.252841864702745,trending,normal,low,,direction_miss,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,direction_miss,ai,confirmed
2026-05-28T08:00:00+09:00,fb_USDJPY_20260528T080000_v1_0195a5d23dc7f6d6,oc_USDJPY_20260528T080000_20260529T080000_v1_f2af4bba86c446fc,ugh_v2_beta,up,18.196116795185766,down,-17.5537583850543,False,True,True,,35.74987518024007,0.6423584101314646,trending,normal,low,,direction_miss,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,direction_miss,ai,confirmed
2026-05-28T08:00:00+09:00,fb_USDJPY_20260528T080000_v1_0195a5d23dc7f6d6,oc_USDJPY_20260528T080000_20260529T080000_v1_f2af4bba86c446fc,ugh_v2_delta,up,19.028167830441625,down,-17.5537583850543,False,True,True,,36.581926215495926,1.474409445387323,trending,normal,low,,direction_miss,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,direction_miss,ai,confirmed
2026-05-28T08:00:00+09:00,fb_USDJPY_20260528T080000_v1_0195a5d23dc7f6d6,oc_USDJPY_20260528T080000_20260529T080000_v1_f2af4bba86c446fc,ugh_v2_gamma,up,18.223748377494484,down,-17.5537583850543,False,True,True,,35.77750676254878,0.6699899924401826,trending,normal,low,,direction_miss,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,direction_miss,ai,confirmed
2026-05-29T08:00:00+09:00,fb_USDJPY_20260529T080000_v1_9d785188fdd31da5,oc_USDJPY_20260529T080000_20260601T080000_v1_df787bc962941c33,baseline_prev_day_direction,down,-17.5537583850543,up,3.140506249606365,False,,,,20.694264634660666,14.413252135447937,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,month_end,,month_end,month_end,auto_only,normal,low,,ai_plus_auto,confirmed
2026-05-29T08:00:00+09:00,fb_USDJPY_20260529T080000_v1_9d785188fdd31da5,oc_USDJPY_20260529T080000_20260601T080000_v1_df787bc962941c33,baseline_random_walk,flat,0.0,up,3.140506249606365,False,,,,3.140506249606365,3.140506249606365,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,month_end,,month_end,month_end,auto_only,normal,low,,ai_plus_auto,confirmed
2026-05-29T08:00:00+09:00,fb_USDJPY_20260529T080000_v1_9d785188fdd31da5,oc_USDJPY_20260529T080000_20260601T080000_v1_df787bc962941c33,baseline_simple_technical,up,25.912695358081407,up,3.140506249606365,True,,,,22.772189108475043,22.772189108475043,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,month_end,,month_end,month_end,auto_only,normal,low,,ai_plus_auto,confirmed
2026-05-29T08:00:00+09:00,fb_USDJPY_20260529T080000_v1_9d785188fdd31da5,oc_USDJPY_20260529T080000_20260601T080000_v1_df787bc962941c33,ugh_v2_alpha,up,6.401207126930504,up,3.140506249606365,True,True,False,,3.2607008773241386,3.2607008773241386,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,month_end,,month_end,month_end,auto_only,normal,low,,ai_plus_auto,confirmed
2026-05-29T08:00:00+09:00,fb_USDJPY_20260529T080000_v1_9d785188fdd31da5,oc_USDJPY_20260529T080000_20260601T080000_v1_df787bc962941c33,ugh_v2_beta,up,3.1009200667631838,up,3.140506249606365,True,True,False,,0.03958618284318138,0.03958618284318138,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,month_end,,month_end,month_end,auto_only,normal,low,,ai_plus_auto,confirmed
2026-05-29T08:00:00+09:00,fb_USDJPY_20260529T080000_v1_9d785188fdd31da5,oc_USDJPY_20260529T080000_20260601T080000_v1_df787bc962941c33,ugh_v2_delta,up,4.7579373160656075,up,3.140506249606365,True,True,False,,1.6174310664592424,1.6174310664592424,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,month_end,,month_end,month_end,auto_only,normal,low,,ai_plus_auto,confirmed
2026-05-29T08:00:00+09:00,fb_USDJPY_20260529T080000_v1_9d785188fdd31da5,oc_USDJPY_20260529T080000_20260601T080000_v1_df787bc962941c33,ugh_v2_gamma,up,6.050101046753673,up,3.140506249606365,True,True,False,,2.9095947971473075,2.9095947971473075,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,month_end,,month_end,month_end,auto_only,normal,low,,ai_plus_auto,confirmed
2026-06-01T08:00:00+09:00,fb_USDJPY_20260601T080000_v1_6f4ff6cd4d2e9eef,oc_USDJPY_20260601T080000_20260602T080000_v1_f179ecde5ae77ffb,baseline_prev_day_direction,up,3.140506249606365,up,21.971123666038558,True,,,,18.830617416432194,18.830617416432194,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-06-01T08:00:00+09:00,fb_USDJPY_20260601T080000_v1_6f4ff6cd4d2e9eef,oc_USDJPY_20260601T080000_20260602T080000_v1_f179ecde5ae77ffb,baseline_random_walk,flat,0.0,up,21.971123666038558,False,,,,21.971123666038558,21.971123666038558,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-06-01T08:00:00+09:00,fb_USDJPY_20260601T080000_v1_6f4ff6cd4d2e9eef,oc_USDJPY_20260601T080000_20260602T080000_v1_f179ecde5ae77ffb,baseline_simple_technical,up,24.60072916516475,up,21.971123666038558,True,,,,2.6296054991261926,2.6296054991261926,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-06-01T08:00:00+09:00,fb_USDJPY_20260601T080000_v1_6f4ff6cd4d2e9eef,oc_USDJPY_20260601T080000_20260602T080000_v1_f179ecde5ae77ffb,ugh_v2_alpha,up,10.315568721984176,up,21.971123666038558,True,False,True,,11.655554944054382,11.655554944054382,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-06-01T08:00:00+09:00,fb_USDJPY_20260601T080000_v1_6f4ff6cd4d2e9eef,oc_USDJPY_20260601T080000_20260602T080000_v1_f179ecde5ae77ffb,ugh_v2_beta,up,8.792268144510345,up,21.971123666038558,True,False,True,,13.178855521528213,13.178855521528213,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-06-01T08:00:00+09:00,fb_USDJPY_20260601T080000_v1_6f4ff6cd4d2e9eef,oc_USDJPY_20260601T080000_20260602T080000_v1_f179ecde5ae77ffb,ugh_v2_delta,up,9.682833671057372,up,21.971123666038558,True,False,True,,12.288289994981186,12.288289994981186,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-06-01T08:00:00+09:00,fb_USDJPY_20260601T080000_v1_6f4ff6cd4d2e9eef,oc_USDJPY_20260601T080000_20260602T080000_v1_f179ecde5ae77ffb,ugh_v2_gamma,up,9.571813413611014,up,21.971123666038558,True,False,True,,12.399310252427544,12.399310252427544,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
